Close,Volume,Open,High,Low
$126.21,80171250,$126.5,$127.13,$125.65
$125.9,88651180,$123.87,$126.1601,$123.07
$123,75089130,$123.66,$124.18,$122.49
$122.15,118323800,$121.65,$123.52,$121.15
$119.9,85671920,$120.11,$120.4031,$118.86
$121.39,80819200,$121.65,$122.58,$120.7299
$121.21,94071230,$120.35,$121.48,$118.92
$120.59,98844680,$119.54,$121.66,$119
$120.09,88530490,$122.82,$122.9,$120.065
$122.54,95467140,$123.33,$124.24,$122.14
$123.39,111912300,$120.33,$123.87,$120.26
$119.99,185549500,$119.9,$121.43,$119.675
$120.53,121469800,$122.88,$123.18,$120.32
$124.76,111932600,$124.05,$125.8599,$122.336
$125.57,115227900,$125.7,$127.22,$124.715
$123.99,92590560,$121.41,$124,$120.42
$121.03,88105050,$120.4,$121.17,$119.16
$121.96,103026500,$122.54,$123.21,$121.26
$119.98,111943300,$121.69,$122.17,$119.45
$121.085,129525800,$119.03,$122.06,$118.79
$116.36,154376600,$120.93,$121,$116.21
$121.42,153766600,$120.98,$121.935,$117.57
$120.13,178155000,$121.75,$123.6,$118.62
$122.06,112966300,$124.81,$125.71,$121.84
$125.12,102260900,$128.41,$128.72,$125.01
$127.79,116307900,$123.75,$127.93,$122.79
$121.26,164560400,$122.59,$124.85,$121.2
$120.99,148199500,$124.68,$126.4585,$120.54
$125.35,111039900,$124.94,$125.56,$122.23
$125.86,158273000,$123.76,$126.71,$118.39
$126,103916400,$128.01,$129.72,$125.6
$129.87,87668830,$130.24,$130.71,$128.8
$129.71,96856750,$129.2,$129.995,$127.41
$130.84,98085250,$131.25,$132.22,$129.47
$133.19,80576320,$135.49,$136.01,$132.79
$135.37,60145130,$134.35,$135.53,$133.6921
$135.13,64280030,$135.9,$136.39,$133.77
$135.39,73046560,$136.48,$136.99,$134.4
$136.01,76774210,$136.62,$137.877,$135.85
$136.91,71297210,$136.03,$136.96,$134.92
$136.76,75693830,$137.35,$137.42,$135.86
$137.39,84183060,$136.3,$137.4,$134.59
$133.94,89880940,$135.76,$135.77,$133.61
$134.99,83305370,$135.73,$136.31,$134.61
$134.14,106239800,$133.75,$135.38,$130.93
$131.96,177523800,$135.83,$136.74,$130.21
$137.09,142621100,$139.52,$141.99,$136.7
$142.06,140843800,$143.43,$144.3,$140.41
$143.16,98390560,$143.6,$144.3,$141.37
$142.92,157611700,$143.07,$145.09,$136.54
$139.07,114459400,$136.28,$139.85,$135.02
$136.87,120529500,$133.8,$139.67,$133.59
$132.03,104319500,$128.66,$132.49,$128.55
$127.83,90757330,$127.78,$128.71,$126.938
$127.14,111598500,$128.78,$130.2242,$127
$128.91,90221760,$130.8,$131,$128.76
$130.89,88636830,$128.76,$131.45,$128.49
$128.8,91951150,$128.5,$129.69,$126.86
$128.98,100620900,$129.19,$130.17,$128.5
